channel,avg_peak_frequency,avg_bandwidth,avg_auc,n_successful_bouts,subject
VREF,0.0189529752218879,0.0294167629874921,0.0383500727075359,7,DG1
VREF,0.0300336140578709,0.0381509915445674,0.0513214879894419,12,EB34
VREF,0.0365689489368424,0.0482595971060438,0.0537864573901748,4,EL3002
VREF,0.0239736187588375,0.0436669728228989,0.0710278699044804,2,EL3003
VREF,0.0203445415325929,0.0322421595174705,0.0591464187825164,2,EL3004
VREF,0.0052160880199872,0.0053681688008958,0.0253510270003784,3,EL3005
VREF,0.036689029685102,0.1230250976528726,0.0577003138212562,2,EL3006
VREF,0.0173173047538431,0.0129396020501498,0.0378518402002601,2,el3007
VREF,0.006947675873719,0.0075994880508975,0.0309195665940344,2,EL3009
VREF,0.0029527485754698,0.0013737050138175,0.0161926529277719,1,EL3016
VREF,0.0349853263221494,0.0802623656274343,0.0858889432933715,1,EL3020
VREF,0.00847202387135,0.0307533065717875,0.0682575185464525,6,EL3025
VREF,0.0169220684413542,0.0535273576972313,0.0764500477182393,1,EL3026
VREF,0.0127054046200636,0.0036556268331987,0.0122350516004449,1,HG78
VREF,0.0199251963830638,0.0362395322530106,0.052500526806213,6,LS56
VREF,0.0173253572274254,0.024942810584584,0.0386523107448785,4,NE36
VREF,0.0118672535407261,0.0320975542049484,0.0372257104411883,11,ON68
VREF,0.0262290466125575,0.0155880046083159,0.0400319872960124,3,RD43
VREF,0.0200336410636116,0.0521865711845015,0.0587285271846205,13,SB00
VREF,0.0226754313487546,0.0510676872845629,0.0483519668868223,5,YF58
